Taxon_Group,Taxon,NonTarget,Rationale,OTU_MTTI,OTU_MetricCalc,OTU_BCG_MariNW,OTU_BSTI
Oligochaeta,Chamaedrilus,FALSE,,Chamaedrilus,Chamaedrilus,Oligochaeta,DNI
Diptera,Chaoboridae,FALSE,,DNI,Chaoboridae,Chaoboridae,DNI
Diptera,Chaoborus,FALSE,,DNI,Chaoborus,Chaoborus,DNI
Diptera,Cheilotrichia,FALSE,,DNI,Cheilotrichia,Cheilotrichia,DNI
Diptera,Chelifer,FALSE,Slashed taxon,Chelifera/Metachela,Chelifera/Metachela,Chelifera/Metachela,Chelifera/Metachela
Diptera,Chelifera,FALSE,Slashed taxon,Chelifera/Metachela,Chelifera/Metachela,Chelifera/Metachela,Chelifera/Metachela
Diptera,Chelifera / Metachela,FALSE,Slashed taxon,Chelifera/Metachela,Chelifera/Metachela,Chelifera/Metachela,Chelifera/Metachela
Diptera,Chelifera/Metachela,FALSE,Slashed taxon,Chelifera/Metachela,Chelifera/Metachela,Chelifera/Metachela,Chelifera/Metachela
Diptera,Chelifera/Metachela Group,FALSE,Slashed taxon,Chelifera/Metachela,Chelifera/Metachela,Chelifera/Metachela,Chelifera/Metachela
Diptera,Chelifera/Neoplasta,FALSE,,DNI,Empididae,Empididae,DNI
Other Non-Insect,Chelomideopsis,FALSE,,Athienemanniidae,Chelomideopsis,Trombidiformes,DNI
Plecoptera,Chernokrilus misnomus,FALSE,"known only from OR, CA",DNI,,,
Coleoptera,Cheryl Barr Undescribed,FALSE,,Bryelmis,Bryelmis,Bryelmis,DNI
Trichoptera,Cheumatopsyche,FALSE,,Cheumatopsyche,Cheumatopsyche,Cheumatopsyche,Cheumatopsyche
Trichoptera,Cheumatopsyche (Cheumatopsychodes),FALSE,,Cheumatopsyche,Cheumatopsyche,Cheumatopsyche,Cheumatopsyche
Trichoptera,Cheumatopsyche campyla,FALSE,,Cheumatopsyche,Cheumatopsyche,Cheumatopsyche,Cheumatopsyche
Trichoptera,Cheumatopsyche pettiti,FALSE,,Cheumatopsyche,Cheumatopsyche,Cheumatopsyche,Cheumatopsyche
Trichoptera,Chimarra,FALSE,,Chimarra,Chimarra,Chimarra,DNI
Diptera,Chioneinae,FALSE,best to leave at family,DNI,Limoniidae,Limoniidae,DNI
Chironomidae,Chironomidae,FALSE,,DNI,Chironomidae,Chironomidae,DNI
Chironomidae,Chironomidae-larvae,FALSE,,DNI,Chironomidae,Chironomidae,DNI
Chironomidae,Chironomidae-pupae,FALSE,,DNI,Chironomidae,Chironomidae,DNI
Chironomidae,Chironominae,FALSE,,DNI,Chironominae,Chironominae,DNI
Chironomidae,Chironomini,FALSE,,DNI,Chironomini,Chironomini,DNI
Chironomidae,Chironomus,FALSE,,Chironomus,Chironomus,Chironomus,Chironomus
Chironomidae,Chironomus/Einfeldia,FALSE,,DNI,Chironominae,Chironominae,DNI
Terrestrial,Chlamys,TRUE,Marine,DNI,DNI,DNI,DNI
Plecoptera,Chloroperla,FALSE,,DNI,Chloroperlidae,Chloroperlidae,DNI
Plecoptera,Chloroperlidae,FALSE,,DNI,Chloroperlidae,Chloroperlidae,DNI
Plecoptera,Chloroperlinae,FALSE,,DNI,Chloroperlidae,Chloroperlidae,DNI
Ephemeroptera,Choroterpes,FALSE,,DNI,Choroterpes,Choroterpes,DNI
Terrestrial,Chrysomelidae,TRUE,Terrestrial,DNI,DNI,DNI,DNI
Diptera,Chrysops,FALSE,,Tabanidae,Tabanidae,Tabanidae,Tabanidae
Other Non-Insect,Chydoridae,TRUE,Cladocera excluded,DNI,DNI,DNI,DNI
Trichoptera,Chyranda,FALSE,likely multiple spp.,DNI,Chyrandra,Chyrandra,DNI
Trichoptera,Chyranda centralis,FALSE,likely multiple spp.,DNI,Chyrandra,Chyrandra,DNI
Trichoptera,Chyranda Chyranda centralis,FALSE,likely multiple spp.,DNI,Chyrandra,Chyrandra,DNI
Trichoptera,Chyrandra,FALSE,likely multiple spp.,DNI,Chyrandra,Chyrandra,DNI
Trichoptera,Chyrandra centralis,FALSE,likely multiple spp.,DNI,Chyrandra,Chyrandra,DNI
Terrestrial,Cinara,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI
Ephemeroptera,Cinygma,FALSE,,Cinygma,Cinygma,Cinygma,Cinygma
Ephemeroptera,Cinygmula,FALSE,,Cinygmula,Cinygmula,Cinygmula,Cinygmula
Ephemeroptera,Cinygmula par,FALSE,,Cinygmula,Cinygmula,Cinygmula,Cinygmula
Other Non-Insect,Cipangopaludina,FALSE,,DNI,Cipangopaludina,Cipangopaludina,DNI
Other Non-Insect,Cipangopaludina chinensis,FALSE,,DNI,Cipangopaludina,Cipangopaludina,DNI
Plecoptera,Claassenia,FALSE,Single Species in Genus,Claassenia sabulosa,Claassenia sabulosa,Claassenia sabulosa,DNI
Plecoptera,Claassenia sabulosa,FALSE,Single Species in Genus,Claassenia sabulosa,Claassenia sabulosa,Claassenia sabulosa,DNI
Other Non-Insect,Cladocera,TRUE,Cladocera excluded,DNI,DNI,DNI,DNI
Chironomidae,Cladopelma,FALSE,,DNI,Cladopelma,Cladopelma,DNI
Chironomidae,Cladotanytarsus,FALSE,,Cladotanytarsus,Cladotanytarsus,Cladotanytarsus,Cladotanytarsus
Coleoptera,Cleptelmis,FALSE,only one species in Genus,Cleptelmis addenda,Cleptelmis addenda,Cleptelmis addenda,Cleptelmis addenda
Coleoptera,Cleptelmis addenda,FALSE,only one species in Genus,Cleptelmis addenda,Cleptelmis addenda,Cleptelmis addenda,Cleptelmis addenda
Coleoptera,Cleptelmis ornata,FALSE,only one species in Genus,Cleptelmis addenda,Cleptelmis addenda,Cleptelmis addenda,Cleptelmis addenda
Neuroptera,Climacia californica,FALSE,I tend to exclude these,DNI,Sisyridae,Sisyridae,DNI
Terrestrial,Clinidium,TRUE,Terrestrial,DNI,DNI,DNI,DNI
Diptera,Clinocera,FALSE,,Clinocera,Clinocera,Clinocera,Clinocera
Diptera,Clinocera stagnalis,FALSE,,Clinocera,Clinocera,Clinocera,Clinocera
Diptera,Clinocerinae,FALSE,,DNI,Clinocerinae,Clinocerinae,DNI
Diptera,Clinocerinae unknown larvae A,FALSE,,DNI,Clinocerinae,Clinocerinae,DNI
Chironomidae,Clinotanypus,FALSE,,DNI,Clinotanypus,Clinotanypus,DNI
Terrestrial,Clio,TRUE,Marine,DNI,DNI,DNI,DNI
Oligochaeta,Clitellata,FALSE,,DNI,Oligochaeta,Oligochaeta,DNI
Trichoptera,Clostoeca,FALSE,,DNI,Clostoeca,Clostoeca,DNI
Trichoptera,Clostoeca disjuncta,FALSE,,DNI,Clostoeca,Clostoeca,DNI
Other Non-Insect,Cnidaria,FALSE,all Cnidaria,Hydra,Hydra,Hydra,DNI
Chironomidae,Coelotanypodini,FALSE,,DNI,Coelotanypodini,Coelotanypodini,DNI
Odonata,Coenagrion,FALSE,,Coenagrionidae,Coenagrionidae,Coenagrionidae,DNI
Odonata,Coenagrion/Enallagma,FALSE,,Coenagrionidae,Coenagrionidae,Coenagrionidae,DNI
Odonata,Coenagrionidae,FALSE,,Coenagrionidae,Coenagrionidae,Coenagrionidae,DNI
Coleoptera,Coleoptera,FALSE,,DNI,Coleoptera,Coleoptera,DNI
Terrestrial,Collembola,TRUE,Collembola excluded,DNI,DNI,DNI,DNI
Other Non-Insect,Colligyrus,FALSE,best to leave at SuperFamily,Truncatelloidea,Truncatelloidea,Truncatelloidea,DNI
Coleoptera,Colymbetes,FALSE,,DNI,Colymbetinae,Dytiscidae,DNI
Coleoptera,Colymbetes densus,FALSE,,DNI,Colymbetinae,Dytiscidae,DNI
Coleoptera,Colymbetes sculptilis,FALSE,,DNI,Colymbetinae,Dytiscidae,DNI
Coleoptera,Colymbetinae,FALSE,,DNI,Colymbetinae,Dytiscidae,DNI
Chironomidae,Compterosmittia,FALSE,,DNI,Compterosmittia,Compterosmittia,DNI
Chironomidae,Compterosmittia sp. A,FALSE,best to leave at genus,DNI,Compterosmittia,Compterosmittia,DNI
Chironomidae,Conchapelopia,FALSE,These should all have been Group,Thienemannimyia Group,Thienemannimyia Group,Thienemannimyia Group,Thienemannimyia Group
Chironomidae,Constempellina,FALSE,,Constempellina,Constempellina,Constempellina,Constempellina
Chironomidae,Constempellina sp. C,FALSE,,Constempellina,Constempellina,Constempellina,Constempellina
Coleoptera,Copelatus,FALSE,,DNI,Copelatinae,Copelatinae,DNI
Other Non-Insect,Copepoda,TRUE,Copepoda excluded,DNI,DNI,DNI,DNI
Coleoptera,Coptotomus,FALSE,,DNI,Coptotomus,Dytiscidae,DNI
Coleoptera,Coptotomus longulus,FALSE,,DNI,Coptotomus,Dytiscidae,DNI
Other Non-Insect,Corbicula,FALSE,,DNI,Corbicula,Corbicula,DNI
Other Non-Insect,Corbicula fluminea,FALSE,,DNI,Corbicula,Corbicula,DNI
,Corbiculidae,FALSE,,DNI,Corbicula,Corbicula,DNI
Other Non-Insect,Corbiculoidea,FALSE,,DNI,Corbiculoidea,Corbiculoidea,DNI
Odonata,Cordulegaster,FALSE,,Cordulegaster,Cordulegaster,Cordulegaster,DNI
Odonata,Cordulegaster dorsalis,FALSE,,Cordulegaster,Cordulegaster,Cordulegaster,DNI
Odonata,Cordulegastridae,FALSE,,DNI,Cordulegastridae,Cordulegastridae,DNI
Odonata,Corduliidae,FALSE,,DNI,Corduliidae,Corduliidae,DNI
Odonata,Corduliidae/Libellulidae,FALSE,,DNI,Anisoptera,Anisoptera,DNI
Heteroptera,Corisella,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI
Heteroptera,Corisella decolor,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI
Heteroptera,Corixidae,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI
Other Non-Insect,Corophiidae,FALSE,,DNI,Americorophium,Americorophium,DNI
Other Non-Insect,Corophium,FALSE,,DNI,Americorophium,Americorophium,DNI
Other Non-Insect,Corticacarus,FALSE,,DNI,Corticacarus,Trombidiformes,DNI
Megaloptera,Corydalidae,FALSE,,Corydalidae,Corydalidae,Corydalidae,Corydalidae
Megaloptera,Corydalus,FALSE,,Corydalidae,Corydalidae,Corydalidae,Corydalidae
,Corydalus cornutus,FALSE,,Corydalidae,Corydalidae,Corydalidae,Corydalidae
Chironomidae,Corynoneura,FALSE,,Corynoneura,Corynoneura,Corynoneura,Corynoneura
Chironomidae,Corynoneura/Thienemanniella,FALSE,,DNI,Orthocladiinae,Orthocladiinae,DNI
Fish,Cottidae,TRUE,Fish,DNI,DNI,DNI,DNI
Lepidoptera,Crambidae,FALSE,Lot of these are terrestrial,DNI,Lepidoptera,Lepidoptera,DNI
Terrestrial,Crangon,TRUE,marine,DNI,DNI,DNI,DNI
Other Non-Insect,Crangonyctidae,FALSE,,DNI,Crangonyctidae,Crangonyctidae,DNI
Other Non-Insect,Crangonyx,FALSE,,Crangonyx,Crangonyx,Crangonyx,DNI
Terrestrial,Crassiclitellata,TRUE,Terrestrial,DNI,DNI,DNI,DNI
Coleoptera,Crenitis,FALSE,,Hydrophilidae,Crenitis,Crenitis,Hydrophilidae
Chironomidae,Cricotopus,FALSE,,DNI,Cricotopus,Cricotopus,DNI
Chironomidae,Cricotopus (Cricotopus),FALSE,,DNI,Cricotopus,Cricotopus,DNI
Chironomidae,Cricotopus (Isocladius),FALSE,FORMATTING,Cricotopus (Isocladius),Cricotopus (Isocladius),Cricotopus (Isocladius),DNI
Chironomidae,Cricotopus (Isocladius) Type I,FALSE,FORMATTING,Cricotopus (Isocladius),Cricotopus (Isocladius),Cricotopus (Isocladius),DNI
Chironomidae,Cricotopus (Nostoc.) nostocicola,FALSE,FORMATTING,Cricotopus (Nostococladius),Cricotopus (Nostococladius),Cricotopus (Nostococladius),Cricotopus (Nostococladius)
Chironomidae,Cricotopus (Nostococladius),FALSE,FORMATTING,Cricotopus (Nostococladius),Cricotopus (Nostococladius),Cricotopus (Nostococladius),Cricotopus (Nostococladius)
Chironomidae,Cricotopus (Nostococladius) nostocicola,FALSE,FORMATTING,Cricotopus (Nostococladius),Cricotopus (Nostococladius),Cricotopus (Nostococladius),Cricotopus (Nostococladius)
Chironomidae,Cricotopus / Orthocladius,FALSE,,Orthocladius complex,Orthocladius complex,Orthocladius complex,Orthocladius complex
Chironomidae,Cricotopus bicinctus,FALSE,FORMATTING,Cricotopus Bicinctus Group,Cricotopus Bicinctus Group,Cricotopus Bicinctus Group,Cricotopus Bicinctus Group
Chironomidae,Cricotopus Bicinctus Gr.,FALSE,FORMATTING,Cricotopus Bicinctus Group,Cricotopus Bicinctus Group,Cricotopus Bicinctus Group,Cricotopus Bicinctus Group
Chironomidae,Cricotopus bicinctus group,FALSE,FORMATTING,Cricotopus Bicinctus Group,Cricotopus Bicinctus Group,Cricotopus Bicinctus Group,Cricotopus Bicinctus Group
Chironomidae,Cricotopus bicinctus Group,FALSE,FORMATTING,Cricotopus Bicinctus Group,Cricotopus Bicinctus Group,Cricotopus Bicinctus Group,Cricotopus Bicinctus Group
Chironomidae,Cricotopus Bicinctus Group,FALSE,FORMATTING,Cricotopus Bicinctus Group,Cricotopus Bicinctus Group,Cricotopus Bicinctus Group,Cricotopus Bicinctus Group
Chironomidae,Cricotopus Festivellus Gr.,FALSE,dubious,DNI,Cricotopus,Cricotopus,DNI
Chironomidae,Cricotopus Isocladius,FALSE,FORMATTING,Cricotopus (Isocladius),Cricotopus (Isocladius),Cricotopus (Isocladius),DNI
Chironomidae,Cricotopus Isocladius--Type I,FALSE,FORMATTING,Cricotopus (Isocladius),Cricotopus (Isocladius),Cricotopus (Isocladius),DNI
Chironomidae,Cricotopus nostocicola,FALSE,FORMATTING,Cricotopus (Nostococladius),Cricotopus (Nostococladius),Cricotopus (Nostococladius),Cricotopus (Nostococladius)
Chironomidae,Cricotopus Nostococladius,FALSE,FORMATTING,Cricotopus (Nostococladius),Cricotopus (Nostococladius),Cricotopus (Nostococladius),Cricotopus (Nostococladius)
Chironomidae,Cricotopus Nostococladius--Type II,FALSE,FORMATTING,Cricotopus (Nostococladius),Cricotopus (Nostococladius),Cricotopus (Nostococladius),Cricotopus (Nostococladius)
Chironomidae,Cricotopus Obnixus Gr.,FALSE,dubious,DNI,Cricotopus,Cricotopus,DNI
Chironomidae,Cricotopus sylvestris group,FALSE,,DNI,Cricotopus,Cricotopus,DNI
Chironomidae,Cricotopus Tremulus Gr.,FALSE,FORMATTING,DNI,Cricotopus Tremulus Group,Cricotopus Tremulus Group,DNI
Chironomidae,Cricotopus tremulus group,FALSE,FORMATTING,DNI,Cricotopus Tremulus Group,Cricotopus Tremulus Group,DNI
Chironomidae,Cricotopus tremulus Group,FALSE,FORMATTING,DNI,Cricotopus Tremulus Group,Cricotopus Tremulus Group,DNI
Chironomidae,Cricotopus Tremulus Group,FALSE,FORMATTING,DNI,Cricotopus Tremulus Group,Cricotopus Tremulus Group,DNI
Chironomidae,Cricotopus trifascia,FALSE,FORMATTING,Cricotopus Trifascia Group,Cricotopus Trifascia Group,Cricotopus Trifascia Group,DNI
Chironomidae,Cricotopus Trifascia Gr.,FALSE,FORMATTING,Cricotopus Trifascia Group,Cricotopus Trifascia Group,Cricotopus Trifascia Group,DNI
Chironomidae,Cricotopus trifascia group,FALSE,FORMATTING,Cricotopus Trifascia Group,Cricotopus Trifascia Group,Cricotopus Trifascia Group,DNI
Chironomidae,Cricotopus trifascia Group,FALSE,FORMATTING,Cricotopus Trifascia Group,Cricotopus Trifascia Group,Cricotopus Trifascia Group,DNI
Chironomidae,Cricotopus Trifascia Group,FALSE,FORMATTING,Cricotopus Trifascia Group,Cricotopus Trifascia Group,Cricotopus Trifascia Group,DNI
Chironomidae,Cricotopus/Orthocladius,FALSE,,Orthocladius complex,Orthocladius complex,Orthocladius complex,Orthocladius complex
Other Non-Insect,Crustacea,FALSE,TOO COARSE,DNI,Crustacea,Crustacea,DNI
Trichoptera,Cryptochia,FALSE,,Cryptochia,Cryptochia,Cryptochia,Cryptochia
Trichoptera,Cryptochia califca,FALSE,,Cryptochia,Cryptochia,Cryptochia,Cryptochia
Chironomidae,Cryptochironomus,FALSE,,Cryptochironomus,Cryptochironomus,Cryptochironomus,Cryptochironomus
Diptera,Cryptolabis,FALSE,,Cryptolabis,Cryptolabis,Cryptolabis,Cryptolabis
Chironomidae,Cryptotendipes,FALSE,,DNI,Cryptotendipes,Cryptotendipes,DNI
Diptera,Culex,FALSE,,DNI,Culicidae,Culicidae,DNI
Diptera,Culex pipiens,FALSE,,DNI,Culicidae,Culicidae,DNI
Diptera,Culicidae,FALSE,,DNI,Culicidae,Culicidae,DNI
Diptera,Culicoides,FALSE,Too Many unknown Genera,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae
Diptera,Culiseta,FALSE,,DNI,Culicidae,Culicidae,DNI
Trichoptera,Culoptila,FALSE,,DNI,Culoptila,Culoptila,DNI
Plecoptera,Cultus,FALSE,,DNI,Cultus,Cultus,DNI
Coleoptera,Curculionidae,TRUE,Terrestrial,DNI,DNI,DNI,DNI
,Cybister,FALSE,,DNI,Dytiscidae,Dytiscidae,DNI
Other Non-Insect,Cyclopidae,TRUE,Generally excluded in lotic benthic samples,DNI,DNI,DNI,DNI
Other Non-Insect,Cyclopoida,TRUE,Generally excluded in lotic benthic samples,DNI,DNI,DNI,DNI
Coleoptera,Cylloepus,FALSE,OUT of RANGE,DNI,Elmidae,DNI,DNI
Coleoptera,Cymbiodyta,FALSE,,Hydrophilidae,Cymbiodyta,Cymbiodyta,Hydrophilidae
Trichoptera,Cyrnellus,FALSE,,DNI,Polycentropodidae,Polycentropodidae,DNI
Other Non-Insect,Cystobranchus salmositicus,FALSE,,Hirudinida,Cystobranchus salmositicus,Cystobranchus salmositicus,Hirudinida
Ephemeroptera,Dactylobaetis,FALSE,jr. syn. of Camelobaetidius,DNI,Camelobaetidius,Camelobaetidius,DNI
Diptera,Dactylolabis,FALSE,,DNI,Dactylolabis,Dactylolabis,DNI
Other Non-Insect,Daphnia,TRUE,Cladocera excluded,DNI,DNI,DNI,DNI
Other Non-Insect,Daphnia pulex,TRUE,Cladocera excluded,DNI,DNI,DNI,DNI
Other Non-Insect,Daphniidae,TRUE,Cladocera excluded,DNI,DNI,DNI,DNI
Diptera,Dasyhelea,FALSE,,Dasyhelea,Dasyhelea,Dasyhelea,DNI
Diptera,Dasyheleinae,FALSE,,Dasyhelea,Dasyhelea,Dasyhelea,DNI
Other Non-Insect,Decapoda,FALSE,,DNI,Decapoda,Decapoda,DNI
Chironomidae,Demicryptochironomus,FALSE,,DNI,Demicryptochironomus,Demicryptochironomus,DNI
Oligochaeta,Dero,FALSE,,Naidinae,Dero,Oligochaeta,Naidinae
Coleoptera,Deronectes,FALSE,Genera within Hydroporinae in flux best to leave at subfamily,Hydroporinae,Hydroporinae,Hydroporinae,Hydroporinae
Chironomidae,Derotanypus,FALSE,,DNI,Derotanypus,Derotanypus,DNI
Trichoptera,Desmona,FALSE,Single species,DNI,Monophylax mono,Monophylax mono,DNI
Trichoptera,Desmona mono,FALSE,Single species,DNI,Monophylax mono,Monophylax mono,DNI
Coleoptera,Desmopachria convexa,FALSE,Genera within Hydroporinae in flux best to leave at subfamily,Hydroporinae,Hydroporinae,Hydroporinae,Hydroporinae
Plecoptera,Despaxia,FALSE,Single species in genus in NA,Despaxia augusta,Despaxia augusta,Despaxia augusta,Despaxia augusta
Plecoptera,Despaxia augusta,FALSE,Single species in genus in NA,Despaxia augusta,Despaxia augusta,Despaxia augusta,Despaxia augusta
Coleoptera,Deuteronectes,FALSE,Genera within Hydroporinae in flux best to leave at subfamily,Hydroporinae,Deuteronectes,Hydroporinae,Hydroporinae
Diptera,Deuterophlebia,FALSE,,DNI,Deuterophlebia,Deuterophlebia,DNI
Diptera,Deuterophlebiidae,FALSE,,DNI,Deuterophlebia,Deuterophlebia,DNI
Chironomidae,Diamesa,FALSE,,Diamesa,Diamesa,Diamesa,Diamesa
Chironomidae,Diamesinae,FALSE,,DNI,Diamesinae,Diamesinae,DNI
Other Non-Insect,Dicata,TRUE,Marine,DNI,DNI,DNI,DNI
Trichoptera,Dicosmoecinae,FALSE,,DNI,Dicosmoecinae,Dicosmoecinae,DNI
Trichoptera,Dicosmoecus,FALSE,,DNI,Dicosmoecus,Dicosmoecus,DNI
Trichoptera,Dicosmoecus atripes,FALSE,,Dicosmoecus atripes,Dicosmoecus atripes,Dicosmoecus atripes,Dicosmoecus atripes
Trichoptera,Dicosmoecus gilvipes,FALSE,,Dicosmoecus gilvipes,Dicosmoecus gilvipes,Dicosmoecus gilvipes,Dicosmoecus gilvipes
Trichoptera,Dicosmoecus pallicornis,FALSE,,DNI,Dicosmoecus pallicornis,Dicosmoecus pallicornis,DNI
Terrestrial,Dicraeus,TRUE,Terrestrial,DNI,DNI,DNI,DNI
Diptera,Dicranomyia,FALSE,,Dicranomyia,Dicranomyia,Dicranomyia,DNI
Diptera,Dicranophragma,FALSE,,DNI,Dicranophragma,Dicranophragma,DNI
Coleoptera,Dicranopselaphus,FALSE,,DNI,Psephenidae,Psephenidae,DNI
