"","Sample","O","E","OoverE","Onull","Enull","OoverE.null","BC","BC.null","outlier.05","outlier.01","siteName","daynum","lat","long","elev_sqrt","precip","temp","east","Eco2","Eco3","tot.abund"
"1",108293,12,14.761157183641,0.812944395260487,11,14.1017964071856,0.780042462845011,0.308488301786146,0.337309160305343,0,0,"PNW-023",209,42.6375,-122.316,35.4,1194,128,0,"WC","Ca",300
"2",108295,13,15.4089773365791,0.843664035324365,12,14.1017964071856,0.850955414012739,0.294510774144694,0.317733425097499,0,0,"PNW-025",210,43.1132,-122.518,28.6,1295,140,0,"WC","Ca",275
"3",108303,12,14.9398828579061,0.803219149315463,12,14.1017964071856,0.850955414012739,0.299968486440148,0.310392291810048,0,0,"PNW-033",229,43.8753,-122.072,30.1,1702,127,0,"WC","Ca",300
"4",108304,16,14.752013494612,1.08459770632963,15,14.1017964071856,1.06369426751592,0.204926085396307,0.234156378600823,0,0,"PNW-034",220,44.153,-122.171,23.7,1600,158,0,"WC","Ca",259
"5",108323,15,16.1018217427244,0.931571609701727,13,14.1017964071856,0.921868365180467,0.226524677551684,0.258506407423774,0,0,"PNW-107",220,44.1617,-122.168,20.9,1448,158,0,"WC","Ca",242
"6",108366,14,13.9747210069444,1.00180890860312,14,14.1017964071856,0.992781316348195,0.230892785397706,0.2490943959088,0,0,"PNW-240",223,44.7074,-121.921,31.8,2007,132,0,"WC","Ca",268
"7",108369,12,15.0501485854125,0.797334320780798,13,14.1017964071856,0.921868365180467,0.285668715416883,0.279717189571365,0,0,"PNW-243",224,44.9504,-122.169,26.1,2210,120,0,"WC","Ca",272
"8",109370,13,15.3945035276499,0.84445724258992,12,14.1017964071856,0.850955414012739,0.297425123232332,0.322321633402156,0,0,"PNW-104",207,42.0472,-123.27,31.4,1397,131,0,"WC","KlMts",300
"9",109845,14,17.5244070251311,0.798885804234237,10,14.1017964071856,0.709129511677282,0.327819317925551,0.368944099378882,0,0,"PNW-004",187,43.8856,-123.935,9,2057,165,0,"MWCF","CoRa",300
"10",109907,17,16.1206933748602,1.0545452112197,14,14.1017964071856,0.992781316348195,0.216317051934194,0.254208395482634,0,0,"PNW-233",219,43.9788,-122.555,19.2,1600,160,0,"WC","Ca",300
"11",109909,16,15.3460484560258,1.04261367646845,17,14.1017964071856,1.20552016985138,0.215254302178422,0.211782826338082,0,0,"PNW-235",220,44.1079,-122.018,26.6,1905,139,0,"WC","Ca",300
"12",109910,16,14.8731789167096,1.07576195308351,17,14.1017964071856,1.20552016985138,0.189821804242712,0.202926453600308,0,0,"PNW-236",220,44.0588,-122.01,28.8,1905,131,0,"WC","Ca",300
"13",109913,14,12.5811068666682,1.11277967418677,17,14.1017964071856,1.20552016985138,0.202615709577231,0.217558721601848,0,0,"PNW-239",223,44.4951,-121.923,36.8,2057,116,0,"WC","Ca",300
"14",109915,10,14.1404596686749,0.707190588871226,11,14.1017964071856,0.780042462845011,0.323898575770648,0.343034351145038,0,0,"PNW-241",223,44.7392,-121.886,30.4,2007,132,0,"WC","Ca",300
